Sensor Network Edges with Distance, Cost and Capacity:
edge: (1, 11), distance: 123.113, receivecost: 0.4096, transmitcost: 6.6178, storagecost: 0.4096, energycapacity: 3500.0
edge: (1, 20), distance: 92.212, receivecost: 0.4096, transmitcost: 3.8925, storagecost: 0.4096, energycapacity: 3500.0
edge: (1, 26), distance: 245.441, receivecost: 0.4096, transmitcost: 25.0844, storagecost: 0.4096, energycapacity: 3171.0
edge: (1, 31), distance: 171.605, receivecost: 0.4096, transmitcost: 12.4716, storagecost: 0.4096, energycapacity: 3290.0
edge: (1, 32), distance: 151.085, receivecost: 0.4096, transmitcost: 9.7594, storagecost: 0.4096, energycapacity: 3043.0
edge: (1, 33), distance: 249.058, receivecost: 0.4096, transmitcost: 25.8171, storagecost: 0.4096, energycapacity: 3358.0
edge: (1, 37), distance: 160.763, receivecost: 0.4096, transmitcost: 10.9956, storagecost: 0.4096, energycapacity: 2653.0
edge: (1, 42), distance: 97.653, receivecost: 0.4096, transmitcost: 4.3156, storagecost: 0.4096, energycapacity: 3266.0
edge: (1, 47), distance: 132.642, receivecost: 0.4096, transmitcost: 7.6161, storagecost: 0.4096, energycapacity: 3079.0
edge: (1, 49), distance: 198.942, receivecost: 0.4096, transmitcost: 16.6207, storagecost: 0.4096, energycapacity: 3224.0
edge: (1, 55), distance: 70.239, receivecost: 0.4096, transmitcost: 2.4304, storagecost: 0.4096, energycapacity: 3338.0
edge: (1, 64), distance: 181.983, receivecost: 0.4096, transmitcost: 13.9747, storagecost: 0.4096, energycapacity: 3306.0
edge: (1, 66), distance: 143.92, receivecost: 0.4096, transmitcost: 8.8936, storagecost: 0.4096, energycapacity: 3165.0
edge: (1, 67), distance: 72.901, receivecost: 0.4096, transmitcost: 2.5864, storagecost: 0.4096, energycapacity: 3286.0
edge: (1, 69), distance: 43.354, receivecost: 0.4096, transmitcost: 1.1795, storagecost: 0.4096, energycapacity: 3286.0
edge: (1, 71), distance: 143.588, receivecost: 0.4096, transmitcost: 8.8545, storagecost: 0.4096, energycapacity: 3102.0
edge: (1, 84), distance: 170.309, receivecost: 0.4096, transmitcost: 12.2902, storagecost: 0.4096, energycapacity: 3207.0
edge: (1, 86), distance: 176.87, receivecost: 0.4096, transmitcost: 13.2231, storagecost: 0.4096, energycapacity: 2873.0
edge: (10, 14), distance: 232.855, receivecost: 0.4096, transmitcost: 22.6187, storagecost: 0.4096, energycapacity: 3500.0
edge: (10, 15), distance: 246.732, receivecost: 0.4096, transmitcost: 25.3447, storagecost: 0.4096, energycapacity: 3500.0
edge: (10, 27), distance: 177.349, receivecost: 0.4096, transmitcost: 13.2926, storagecost: 0.4096, energycapacity: 3453.0
edge: (10, 30), distance: 221.21, receivecost: 0.4096, transmitcost: 20.4529, storagecost: 0.4096, energycapacity: 3253.0
edge: (10, 52), distance: 66.907, receivecost: 0.4096, transmitcost: 2.2432, storagecost: 0.4096, energycapacity: 3039.0
edge: (10, 53), distance: 156.51, receivecost: 0.4096, transmitcost: 10.4429, storagecost: 0.4096, energycapacity: 3348.0
edge: (10, 62), distance: 101.365, receivecost: 0.4096, transmitcost: 4.6182, storagecost: 0.4096, energycapacity: 3276.0
edge: (10, 75), distance: 159.314, receivecost: 0.4096, transmitcost: 10.8056, storagecost: 0.4096, energycapacity: 2640.0
edge: (10, 96), distance: 61.111, receivecost: 0.4096, transmitcost: 1.9393, storagecost: 0.4096, energycapacity: 2666.0
edge: (10, 97), distance: 172.091, receivecost: 0.4096, transmitcost: 12.54, storagecost: 0.4096, energycapacity: 2569.0
edge: (100, 15), distance: 145.83, receivecost: 0.4096, transmitcost: 9.1203, storagecost: 0.4096, energycapacity: 3500.0
edge: (100, 22), distance: 230.151, receivecost: 0.4096, transmitcost: 22.1059, storagecost: 0.4096, energycapacity: 2923.0
edge: (100, 25), distance: 120.235, receivecost: 0.4096, transmitcost: 6.331, storagecost: 0.4096, energycapacity: 3438.0
edge: (100, 27), distance: 232.193, receivecost: 0.4096, transmitcost: 22.4927, storagecost: 0.4096, energycapacity: 3453.0
edge: (100, 30), distance: 177.878, receivecost: 0.4096, transmitcost: 13.3695, storagecost: 0.4096, energycapacity: 3253.0
edge: (100, 38), distance: 46.124, receivecost: 0.4096, transmitcost: 1.281, storagecost: 0.4096, energycapacity: 2606.0
edge: (100, 39), distance: 154.84, receivecost: 0.4096, transmitcost: 10.2299, storagecost: 0.4096, energycapacity: 3333.0
edge: (100, 44), distance: 248.408, receivecost: 0.4096, transmitcost: 25.6845, storagecost: 0.4096, energycapacity: 3484.0
edge: (100, 52), distance: 228.162, receivecost: 0.4096, transmitcost: 21.7324, storagecost: 0.4096, energycapacity: 3039.0
edge: (100, 53), distance: 139.76, receivecost: 0.4096, transmitcost: 8.4102, storagecost: 0.4096, energycapacity: 3348.0
edge: (100, 54), distance: 139.444, receivecost: 0.4096, transmitcost: 8.3741, storagecost: 0.4096, energycapacity: 3033.0
edge: (100, 56), distance: 191.138, receivecost: 0.4096, transmitcost: 15.3738, storagecost: 0.4096, energycapacity: 3147.0
edge: (100, 73), distance: 207.819, receivecost: 0.4096, transmitcost: 18.0997, storagecost: 0.4096, energycapacity: 2596.0
edge: (100, 77), distance: 240.063, receivecost: 0.4096, transmitcost: 24.015, storagecost: 0.4096, energycapacity: 3125.0
edge: (100, 89), distance: 160.601, receivecost: 0.4096, transmitcost: 10.9743, storagecost: 0.4096, energycapacity: 2986.0
edge: (100, 97), distance: 123.462, receivecost: 0.4096, transmitcost: 6.6531, storagecost: 0.4096, energycapacity: 2569.0
edge: (11, 1), distance: 123.113, receivecost: 0.4096, transmitcost: 6.6178, storagecost: 0.4096, energycapacity: 3500.0
edge: (11, 20), distance: 84.792, receivecost: 0.4096, transmitcost: 3.3545, storagecost: 0.4096, energycapacity: 3500.0
edge: (11, 29), distance: 170.982, receivecost: 0.4096, transmitcost: 12.3842, storagecost: 0.4096, energycapacity: 2712.0
edge: (11, 31), distance: 140.78, receivecost: 0.4096, transmitcost: 8.5275, storagecost: 0.4096, energycapacity: 3290.0
edge: (11, 32), distance: 30.178, receivecost: 0.4096, transmitcost: 0.7826, storagecost: 0.4096, energycapacity: 3043.0
edge: (11, 33), distance: 167.801, receivecost: 0.4096, transmitcost: 11.9428, storagecost: 0.4096, energycapacity: 3358.0
edge: (11, 35), distance: 201.259, receivecost: 0.4096, transmitcost: 17.0006, storagecost: 0.4096, energycapacity: 3434.0
edge: (11, 37), distance: 199.341, receivecost: 0.4096, transmitcost: 16.6858, storagecost: 0.4096, energycapacity: 2653.0
edge: (11, 40), distance: 210.75, receivecost: 0.4096, transmitcost: 18.6022, storagecost: 0.4096, energycapacity: 3109.0
edge: (11, 42), distance: 70.939, receivecost: 0.4096, transmitcost: 2.4709, storagecost: 0.4096, energycapacity: 3266.0
edge: (11, 43), distance: 155.349, receivecost: 0.4096, transmitcost: 10.2946, storagecost: 0.4096, energycapacity: 2872.0
edge: (11, 47), distance: 121.428, receivecost: 0.4096, transmitcost: 6.449, storagecost: 0.4096, energycapacity: 3079.0
edge: (11, 49), distance: 222.664, receivecost: 0.4096, transmitcost: 20.7172, storagecost: 0.4096, energycapacity: 3224.0
edge: (11, 55), distance: 144.406, receivecost: 0.4096, transmitcost: 8.9511, storagecost: 0.4096, energycapacity: 3338.0
edge: (11, 59), distance: 146.323, receivecost: 0.4096, transmitcost: 9.1793, storagecost: 0.4096, energycapacity: 3149.0
edge: (11, 64), distance: 239.17, receivecost: 0.4096, transmitcost: 23.8396, storagecost: 0.4096, energycapacity: 3306.0
edge: (11, 65), distance: 212.782, receivecost: 0.4096, transmitcost: 18.9547, storagecost: 0.4096, energycapacity: 3438.0
edge: (11, 66), distance: 113.912, receivecost: 0.4096, transmitcost: 5.7246, storagecost: 0.4096, energycapacity: 3165.0
edge: (11, 67), distance: 61.331, receivecost: 0.4096, transmitcost: 1.9503, storagecost: 0.4096, energycapacity: 3286.0
edge: (11, 69), distance: 80.039, receivecost: 0.4096, transmitcost: 3.0336, storagecost: 0.4096, energycapacity: 3286.0
edge: (11, 71), distance: 48.2, receivecost: 0.4096, transmitcost: 1.3612, storagecost: 0.4096, energycapacity: 3102.0
edge: (11, 76), distance: 213.159, receivecost: 0.4096, transmitcost: 19.0205, storagecost: 0.4096, energycapacity: 2998.0
edge: (11, 8), distance: 153.488, receivecost: 0.4096, transmitcost: 10.0592, storagecost: 0.4096, energycapacity: 3500.0
edge: (11, 84), distance: 87.376, receivecost: 0.4096, transmitcost: 3.5367, storagecost: 0.4096, energycapacity: 3207.0
edge: (11, 86), distance: 134.288, receivecost: 0.4096, transmitcost: 7.796, storagecost: 0.4096, energycapacity: 2873.0
edge: (11, 87), distance: 239.215, receivecost: 0.4096, transmitcost: 23.8485, storagecost: 0.4096, energycapacity: 3351.0
edge: (11, 88), distance: 246.618, receivecost: 0.4096, transmitcost: 25.3217, storagecost: 0.4096, energycapacity: 2585.0
edge: (11, 92), distance: 244.05, receivecost: 0.4096, transmitcost: 24.8055, storagecost: 0.4096, energycapacity: 3071.0
edge: (11, 95), distance: 155.481, receivecost: 0.4096, transmitcost: 10.3114, storagecost: 0.4096, energycapacity: 3247.0
edge: (12, 13), distance: 247.184, receivecost: 0.4096, transmitcost: 25.4362, storagecost: 0.4096, energycapacity: 3500.0
edge: (12, 18), distance: 41.687, receivecost: 0.4096, transmitcost: 1.1214, storagecost: 0.4096, energycapacity: 3500.0
edge: (12, 21), distance: 233.463, receivecost: 0.4096, transmitcost: 22.7347, storagecost: 0.4096, energycapacity: 2698.0
edge: (12, 24), distance: 221.551, receivecost: 0.4096, transmitcost: 20.5147, storagecost: 0.4096, energycapacity: 2929.0
edge: (12, 4), distance: 147.107, receivecost: 0.4096, transmitcost: 9.2736, storagecost: 0.4096, energycapacity: 3500.0
edge: (12, 48), distance: 53.569, receivecost: 0.4096, transmitcost: 1.585, storagecost: 0.4096, energycapacity: 3161.0
edge: (12, 63), distance: 165.378, receivecost: 0.4096, transmitcost: 11.6122, storagecost: 0.4096, energycapacity: 3268.0
edge: (12, 7), distance: 213.223, receivecost: 0.4096, transmitcost: 19.0316, storagecost: 0.4096, energycapacity: 3500.0
edge: (12, 83), distance: 124.991, receivecost: 0.4096, transmitcost: 6.8086, storagecost: 0.4096, energycapacity: 3331.0
edge: (12, 85), distance: 132.409, receivecost: 0.4096, transmitcost: 7.5907, storagecost: 0.4096, energycapacity: 3380.0
edge: (12, 99), distance: 139.514, receivecost: 0.4096, transmitcost: 8.3822, storagecost: 0.4096, energycapacity: 2885.0
edge: (13, 12), distance: 247.184, receivecost: 0.4096, transmitcost: 25.4362, storagecost: 0.4096, energycapacity: 3500.0
edge: (13, 21), distance: 167.52, receivecost: 0.4096, transmitcost: 11.9042, storagecost: 0.4096, energycapacity: 2698.0
edge: (13, 24), distance: 200.8, receivecost: 0.4096, transmitcost: 16.925, storagecost: 0.4096, energycapacity: 2929.0
edge: (13, 36), distance: 28.2, receivecost: 0.4096, transmitcost: 0.7353, storagecost: 0.4096, energycapacity: 3261.0
edge: (13, 4), distance: 190.656, receivecost: 0.4096, transmitcost: 15.2984, storagecost: 0.4096, energycapacity: 3500.0
edge: (13, 51), distance: 47.901, receivecost: 0.4096, transmitcost: 1.3494, storagecost: 0.4096, energycapacity: 2738.0
edge: (13, 63), distance: 157.577, receivecost: 0.4096, transmitcost: 10.5801, storagecost: 0.4096, energycapacity: 3268.0
edge: (13, 68), distance: 166.245, receivecost: 0.4096, transmitcost: 11.7299, storagecost: 0.4096, energycapacity: 2988.0
edge: (13, 7), distance: 172.54, receivecost: 0.4096, transmitcost: 12.6034, storagecost: 0.4096, energycapacity: 3500.0
edge: (13, 81), distance: 17.942, receivecost: 0.4096, transmitcost: 0.5415, storagecost: 0.4096, energycapacity: 2992.0
edge: (13, 82), distance: 91.546, receivecost: 0.4096, transmitcost: 3.8423, storagecost: 0.4096, energycapacity: 2804.0
edge: (13, 85), distance: 166.883, receivecost: 0.4096, transmitcost: 11.817, storagecost: 0.4096, energycapacity: 3380.0
edge: (13, 99), distance: 189.973, receivecost: 0.4096, transmitcost: 15.1919, storagecost: 0.4096, energycapacity: 2885.0
edge: (14, 10), distance: 232.855, receivecost: 0.4096, transmitcost: 22.6187, storagecost: 0.4096, energycapacity: 3500.0
edge: (14, 15), distance: 171.035, receivecost: 0.4096, transmitcost: 12.3917, storagecost: 0.4096, energycapacity: 3500.0
edge: (14, 30), distance: 134.239, receivecost: 0.4096, transmitcost: 7.7906, storagecost: 0.4096, energycapacity: 3253.0
edge: (14, 44), distance: 160.409, receivecost: 0.4096, transmitcost: 10.949, storagecost: 0.4096, energycapacity: 3484.0
edge: (14, 52), distance: 224.877, receivecost: 0.4096, transmitcost: 21.1229, storagecost: 0.4096, energycapacity: 3039.0
edge: (14, 53), distance: 248.263, receivecost: 0.4096, transmitcost: 25.6551, storagecost: 0.4096, energycapacity: 3348.0
edge: (14, 6), distance: 214.851, receivecost: 0.4096, transmitcost: 19.3171, storagecost: 0.4096, energycapacity: 3500.0
edge: (14, 62), distance: 133.375, receivecost: 0.4096, transmitcost: 7.696, storagecost: 0.4096, energycapacity: 3276.0
edge: (14, 73), distance: 249.448, receivecost: 0.4096, transmitcost: 25.8967, storagecost: 0.4096, energycapacity: 2596.0
edge: (14, 75), distance: 73.541, receivecost: 0.4096, transmitcost: 2.6248, storagecost: 0.4096, energycapacity: 2640.0
edge: (14, 77), distance: 101.567, receivecost: 0.4096, transmitcost: 4.635, storagecost: 0.4096, energycapacity: 3125.0
edge: (14, 79), distance: 170.942, receivecost: 0.4096, transmitcost: 12.3786, storagecost: 0.4096, energycapacity: 3265.0
edge: (14, 94), distance: 90.02, receivecost: 0.4096, transmitcost: 3.7288, storagecost: 0.4096, energycapacity: 3115.0
edge: (14, 96), distance: 172.189, receivecost: 0.4096, transmitcost: 12.5539, storagecost: 0.4096, energycapacity: 2666.0
edge: (14, 97), distance: 231.928, receivecost: 0.4096, transmitcost: 22.4422, storagecost: 0.4096, energycapacity: 2569.0
edge: (15, 10), distance: 246.732, receivecost: 0.4096, transmitcost: 25.3447, storagecost: 0.4096, energycapacity: 3500.0
edge: (15, 100), distance: 145.83, receivecost: 0.4096, transmitcost: 9.1203, storagecost: 0.4096, energycapacity: 2754.0
edge: (15, 14), distance: 171.035, receivecost: 0.4096, transmitcost: 12.3917, storagecost: 0.4096, energycapacity: 3500.0
edge: (15, 30), distance: 39.477, receivecost: 0.4096, transmitcost: 1.0479, storagecost: 0.4096, energycapacity: 3253.0
edge: (15, 38), distance: 179.114, receivecost: 0.4096, transmitcost: 13.5503, storagecost: 0.4096, energycapacity: 2606.0
edge: (15, 44), distance: 120.679, receivecost: 0.4096, transmitcost: 6.3747, storagecost: 0.4096, energycapacity: 3484.0
edge: (15, 52), distance: 194.248, receivecost: 0.4096, transmitcost: 15.8647, storagecost: 0.4096, energycapacity: 3039.0
edge: (15, 53), distance: 148.127, receivecost: 0.4096, transmitcost: 9.3969, storagecost: 0.4096, energycapacity: 3348.0
edge: (15, 56), distance: 244.691, receivecost: 0.4096, transmitcost: 24.9338, storagecost: 0.4096, energycapacity: 3147.0
